model,method,buildings,load_reduction_w,power_increase_from_reduced_level_w,rebound_above_baseline_w,time_s
2R2C,Numerical,4000,1311745.7774510186,1648529.9721328663,336784.19468184235,249.60703159996774
5R4C,Numerical,4000,2540898.9524483723,3047447.1988690714,506548.24642071134,598.6003503999673
2R2C,Analytical,4000,1311745.7777938298,1648529.9727690874,336784.1949752614,0.026181799941696227
5R4C,Analytical,4000,,,,
2R2C,Proposed (curves unsaved),4000,1311745.6770464887,1648530.6017642464,336784.92471775954,1.2138951000524685
5R4C,Proposed (curves unsaved),4000,2540898.9621338574,3047446.9989725347,506548.0368386772,2.414390799938701
2R2C,Proposed (curves saved),4000,1311745.677046486,1648530.601764245,336784.92471775913,0.01017726639774628
5R4C,Proposed (curves saved),4000,2540898.9621338584,3047446.9989725356,506548.0368386771,0.009626578196883201
